N0010,65.7,2.3,29.6,4,36.1,2.1,8,25,35,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0111,72.1,6,19.9,3.1,29.1,10.1,3.5,14,27.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0112,58.4,4.8,16.3,3,23.4,8.8,3,11,22.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0121,26.6,3,7.7,1,12,3,2,4,8.4,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N0122,63.7,5,18.2,3,26.3,12.1,3,9,24,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0123,20.2,1.5,5.7,1,8.3,3,0,3,7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0130,11.9,-0.1,3.4,0.1,3.8,2,1,6,8,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N0211,27.3,5,6.5,1,12.6,5.3,2,5,12.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0213,58.7,13.4,13.9,2.7,29.9,8.7,4,12,24.3,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N0311,29.6,5.7,11.7,1.7,19,2,1,10,12.7,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N0312,16.4,2.9,6.7,1,10.2,4,0,5,9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0313,34.6,2.7,12.9,2,17.6,3,0,11,14.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0314,31,2.6,12,1.8,15.9,5.2,1,10.8,16.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0410,32.2,3.3,11.5,1.6,16.5,3,0,15,18,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0510,20.1,1.5,4.2,1,7,2.2,1,7,10,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N0611,108.7,5.4,32.5,5,42.8,19.3,10.9,15,45.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0621,296.9,6,89,15.1,110.2,40.9,21.1,17,78.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0631,112.6,4.8,25.6,6,36.9,30.9,9.3,9,49.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0632,58.1,5.1,13.5,3,22.1,4.2,2,14,19.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0640,5.9,0.4,2.3,0,3,0,0,3,3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0650,20.4,1.3,4.9,1,7.2,4,1.2,4,9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0711,57.1,8,15.7,3,26.4,9,2,16.2,27.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0712,123.6,16.7,34.7,6.1,57.5,15.7,2,36.3,54.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N0713,23,1.4,6.2,1,8.7,1,1,5.7,7.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0721,34.5,1.1,9.4,1,11.8,3.7,1,11,15.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N0811,12.8,1.2,2.7,1,4.5,1,0,3,4.4,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N0910,85.4,4.9,23.2,4,32.4,6.3,4,17,27.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1111,211.7,26.1,52,10,88.2,64.4,12.7,10,87.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1112,77.1,9.5,18.7,3.8,31.8,31.4,6,-6,31.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N1114,114.5,12.6,27.7,5.3,45.7,26.6,3,10,39.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1121,73.9,10.9,20.2,4,35.2,20.4,1.6,19,40.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1122,133.2,34.4,37.5,7.6,79.5,29,4.2,30,63.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N1211,26.6,0.5,5.3,1,7,2,0,3,6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1212,53.5,4.6,11.1,2,17.8,11,1,7,18.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1213,99.9,6.9,20.7,4,31.6,21.2,3,14,37.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1221,268.9,32.8,74.6,12.4,119.7,43.9,7.3,17,68.1,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N1223,30.6,5.3,8.7,1.3,15.6,10.3,1,2,13.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1224,31.6,2.7,8.6,1,12.6,4,2,2,8,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N1225,46.2,3.7,12.5,2,18.4,8.9,1.5,3,13.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1226,27.3,3.3,7.5,1,11.9,21.7,1,2,24.4,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N1227,28.1,2.3,7.8,1,11.3,6.4,0.2,2,8.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1231,126.5,2.8,37.4,6,46.4,15,4,14,32.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1232,48.5,2.1,14.6,2,19,13.2,2,4,20,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1233,57.4,1.7,17.3,3,21.9,14,2,6,21.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1241,99.2,-24.7,37.9,4.4,17.4,11.3,8,-7,12.8,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1242,25.9,-2.5,11.3,1,10,4.1,1,2,7.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1243,33,-1,14.9,2,15.6,3.4,1,10,13.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1411,77.2,-16.7,15.2,2.9,1.1,25.7,15.1,-5.5,35,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1414,168.4,13.7,39.4,7,60.5,66.3,5,-15.8,55.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1420,51.2,-4.5,11.7,2,9.1,17.1,4.9,-5,16.5,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1431,184.1,8.1,40.7,7.9,56.5,35.7,10.5,4,50.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1432,49.1,5.7,11.3,2,19.2,8.5,1,1,10.1,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N1433,99,4.4,21.9,4,30.5,42.7,7.9,2,51.9,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N1434,63,0.1,13.6,2.9,16.3,19.7,4.5,1,25.4,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N1440,255.5,21.1,57.3,11,89.4,75.2,6.3,-1,80.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1450,197.1,3.3,34.8,7,45.6,76.2,16.4,-29,63.2,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1461,35.3,0.3,10.7,2,12.5,5,2,2,9.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1462,30.9,2.5,9.7,1.8,13.7,1,0,9,11,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1463,34.2,-1.3,10,2,10.4,6.6,1.8,0,8.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N1471,132.8,3.7,23.7,5.3,33,34.1,10.6,-2,42.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N1472,115.1,5.1,20.6,4.8,30.7,25,9.5,-2,32.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2110,29.7,3.2,7.7,1.2,12.1,8.9,6,0,15.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2120,28.2,2.9,5.9,1,10.2,7.8,2.4,1,11.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2131,57.2,9.9,9.9,2.2,22.2,21.8,5.7,-2,25.3,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2132,40.9,4.6,7.1,2,13.2,15.2,7,-3,18.7,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N2133,34.3,2.7,5.8,1,9.9,11.2,6,-4,13.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2134,8.8,1.1,1.5,0,3,3.7,2,-2,3.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2141,17.1,1.7,2.9,1,5.5,6.8,3,-3,7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2143,21.7,3.2,3.6,1,8,10.7,2,-3,9.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2146,10.2,1.8,1.9,0,3.9,1.4,1,-1,1.4,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2147,18.6,3.5,3.3,1,7.7,7.8,5,0,13.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N2148,18.4,2.5,3.1,1,6.3,4,0,-1,3,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2151,20.4,2.5,4.1,1,7.4,4,2,2,8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2152,20.6,1.2,3.9,1,6,6.3,1,1,8.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2161,9.4,1.1,1,0,3,2.4,1,0,3.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2171,174.7,31.3,20.8,6.7,58.7,38.2,17.2,6,61.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2172,24.3,6.5,3,1,10.4,8.1,2,1,11.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2173,45.5,8.7,5.5,2,16,18,6,-4,20.7,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2174,139,27.2,16.6,5.4,48.9,56,18.2,4,78.1,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N2175,31.3,6.5,3.9,1,11.6,16.1,2,1,18.9,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N2210,34.1,2.5,7,1.1,10.6,12.9,4,-6,10.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2221,9.1,0.7,2,0,3.1,4.9,1,-3,2.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N2222,14.8,0.5,3.4,1,4.4,4.9,0,-2,3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2225,16.7,2.1,3.9,1,6.6,3,1,2,5.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2231,23.4,3.5,5.3,1,10,8,1,-1,8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2232,16.1,1.3,3.7,1,5.4,6,1,-0.5,6.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2233,18.5,1.1,4,1,5.9,5,2,-0.7,6.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2234,17.3,2.2,3.9,1,6.5,3,1,0,4,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N2241,27.1,-0.6,6.5,1,7,5.1,3,0,7.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2242,63.6,-8,14,2,8.4,14.7,5,-1,18.8,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N2243,15.9,1.5,4.1,1,6.5,4.8,1,0,5.8,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N2250,58.4,1.4,12.7,2,16.3,24.3,6.2,-20,11,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2261,48,8.8,13.2,2,24.3,10.4,1,9,20.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2264,19,2.5,5,1,8.4,3,1,3,6.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2270,25.9,1.2,6.9,1,9.3,5,1,2,8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2281,64.9,9.9,10.8,2.5,23.1,14.7,5,-2.1,17.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N2282,74.8,3.2,11.7,2.8,17.7,24,8.3,-3.7,28.7,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N3111,41.1,13,7.1,2.5,22.7,6,2.9,3,11.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3112,49.3,15.6,8.7,3,27.3,8.8,3,4,15.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3113,23,4.5,4,1,9.6,5.8,0.7,0,6.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3114,9.4,1.9,1.9,1,4,2,1,1,4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3120,17.2,2.6,3,1,6.9,4.9,0,3,8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3131,28.8,3.9,5,1,10.4,12,2,-1,12.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3132,12,1.4,2,0.7,4.1,4,0,0,4,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3141,11,1.9,1.4,0,3.8,4.9,0,-1,3.6,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3142,25.8,5.5,3.6,1,10.1,10.8,1,-1,10.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3143,25,5.5,3.3,1,9.8,12.5,1,-3,10.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3151,23.6,6,6.7,1,14,2,0,10,12,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3152,280.8,54.6,75.5,12.7,142.7,96.3,11.6,-10,98.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3211,50,6.7,9.4,2,18,14,3,-2,15.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3213,16.4,3.3,3.1,1,7.1,8.9,0,-1,8.8,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3214,38.6,6.6,7.5,1.1,15.3,15.4,2,-1,16,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3220,36.3,3.9,6.2,1,11.3,10,2,-3,9.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3231,9.4,1.1,2,0,3.2,2,0,0,2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N3232,7.5,1,1.6,0,3,1,1,0,2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3233,73.2,10,15,3,27.8,21.3,1,-3,19.1,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N3234,29.7,5.6,6.3,1,13.1,10.3,0,-1,10,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3235,26.1,6.2,5.5,1,12.5,10,1,-1,10.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N3411,29.5,2.8,5.8,1,10.1,12.2,2,3,16.9,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N3413,317.8,59.4,65.9,13.7,139.3,84.7,14,28.1,127.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4110,87.4,7.2,16.7,4,28,25.2,2,10,37.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4121,76.6,12.1,11.2,3,26.8,7.8,6.8,0,14.5,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N4122,67,5.4,9.6,3,17.7,28.5,6,-10,24.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4131,115.2,12.3,36.7,6.1,55.3,20.3,5.3,17,42.5,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N4141,168.8,7.4,32.6,6,46.3,44.3,4,-1,47.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4142,297.8,23.9,58.4,11.2,93.6,111.8,6.4,-1,117.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4143,20.8,2.6,4.2,1,7.8,6.8,0,0,6.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4151,21.5,3.1,5,1,9.5,3.1,0,1,5,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N4152,71.2,9.8,17.4,3.2,30.7,31,1,5,37.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4153,32.7,3,8,1.8,12.4,8.6,1,2,11.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4154,24.6,1.5,6,1,8.5,3,2,1.9,6.4,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N4161,23.5,1.1,3.8,1,5.6,8.2,1,0,9,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N4162,60,8.2,10.1,2,20.6,23.1,5,-1,27.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4164,72.7,12.9,12.7,3,28.7,22.5,2.9,6,30.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4166,59.4,6.4,9.9,2,18.4,16.4,1.9,5,22.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4211,56.9,10,10.9,2.2,23.4,23.9,1,-1,23.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4212,121.8,21.2,23,5,49.4,49.9,3,-3,49.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4213,16.5,0.5,3,1,4,4.8,1,0,5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4214,213.6,36.9,40.3,8.8,85.9,71.1,11.7,-5,77.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N4215,33.2,-1.1,6,1,5.7,10.7,2.2,-1,12.4,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N5110,14.2,0,4.6,1,4.9,3,1,3,6.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5121,56.8,5,11.9,3,19.5,17.8,3,2,23.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5124,58.1,9.9,12.7,3,25.7,28.5,1,2,31.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5125,20.3,2.6,4.1,1,8.1,4.8,2,1,7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5131,36.4,1.6,8.6,2,11.8,10.8,1,-1,11.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5133,69.8,5,16.7,3.9,25.3,19.2,4,-1,22.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5210,21.9,1.2,6,1,8.1,7,0,0,7.1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5221,20.7,2,2.4,1,5,7,1,-3,5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5222,29.3,2.4,3.3,1,6.8,10,2,-1,10.3,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N5230,8.6,0.3,1,0,1.6,3,1,-2,2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5241,61.9,7.3,7.8,2.5,17.8,21.5,3.7,1,26,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N5242,23.1,3.4,2.9,1,7.3,8.9,1,0,9.4,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5243,20.9,1.5,2.6,1,5.3,4,2,0,6.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N5250,123.2,18.1,5.8,3.4,27.3,83.5,3,-22,64.2,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N6211,166.6,10.6,25.1,6.5,42.1,55.7,3,-8.5,50.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6212,49.6,2.1,7.2,2,11.2,19.2,2,-9,11.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6213,62.5,4.2,9.4,2.3,16.2,9.9,2,1.6,12.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6221,124.2,10,25.5,5.9,41.4,25.8,3,1,30.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6231,66.7,2.9,12.3,3.9,18.9,17.7,2.7,5,25.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6232,95,11.3,18.1,5.6,34.9,13,2,11,26.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6233,30.1,1.9,5.6,2,9.1,6,1.5,3,11,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6241,55.6,12,8.7,2,22.9,16.6,6,-7.2,15.3,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N6242,179.9,13.9,26.7,6.2,46.9,82.9,16.5,-22.5,76.6,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N6251,48.8,8.3,7.7,2,17.9,18,1,-1,18,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6252,37,1.2,5.6,1,8.2,13,5,-1,17,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6261,82.1,6.6,19.4,3,28.8,20.4,0.5,9,30.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6262,31.3,3.1,7.4,1,11.7,7.6,0,4,11.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N6271,99.8,8.8,14.4,4,27.1,40.5,4.4,-15,29.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
