N0010,"Legislators And Senior Management","0011 - Legislators; 0012 - Senior Government Managers and Officials; 0013 - Senior Managers - Financial, Communications Carriers and Other Business Services; 0014 - Senior Managers - Health, Education, Social and Community Services and Membership Organizations; 0015 - Senior Managers - Trade, Broadcasting and Other Services, n.e.c.; 0016 - Senior Managers - Goods Production, Utilities, Transportation and Construction"
N0111,"Financial Managers","0111 - Financial Managers"
N0112,"Other Services Managers (Human Resources, Purchasing and Others)","0112 - Human Resources Managers; 0113 - Purchasing Managers; 0114 - Other Administrative Services Managers"
N0121,"Insurance, Real Estate and Financial Brokerage Managers","0121 - Insurance, Real Estate and Financial Brokerage Managers"
N0122,"Banking, Credit and Other Investment Managers","0122 - Banking, Credit and Other Investment Managers"
N0123,"Other Business Services Managers","0123 - Other Business Services Managers"
N0130,"Managers In Communication (Except Broadcasting)","0131 - Telecommunication Carriers Managers; 0132 - Postal and Courier Services Managers"
N0211,"Engineering, Science and Architecture Managers","0211 - Engineering, Science and Architecture Managers; 0212 - Architecture and Science Managers"
N0213,"Information Systems and Data Processing Managers","0213 - Information Systems and Data Processing Managers"
N0311,"Managers in Health Care","0311 - Managers in Health Care"
N0312,"Administrators in Post-secondary Education and Vocational Training","0312 - Administrators in Post-Secondary Education and Vocational Training"
N0313,"School Principals and Administrators of Elementary and Secondary Education","0313 - School Principals and Administrators of Elementary and Secondary Education"
N0314,"Managers in Social, Community and Correctional Services","0314 - Managers in Social, Community and Correctional Services"
N0410,"Managers In Public Administration","0411 - Government Managers in Health and Social Policy Development and Program Administration; 0412 - Government Managers in Economic Analysis, Policy Development and Program Administration; 0413 - Government Managers in Education Policy Development and Program Administration; 0414 - Other Managers in Public Administration"
N0510,"Managers In Art, Culture, Recreation And Sport","0511 - Library, Archive, Museum and Art Gallery Managers; 0512 - Managers in Publishing, Motion Pictures, Broadcasting and Performing Arts; 0513 - Recreation and Sport Program and Service Directors"
N0611,"Sales, Marketing and Advertising Managers","0611 - Sales, Marketing and Advertising Managers"
N0621,"Retail Trade Managers","0621 - Retail Trade Managers"
N0631,"Restaurant and Food Service Managers","0631 - Restaurant and Food Service Managers"
N0632,"Accommodation Service Managers","0632 - Accommodation Service Managers"
N0640,"Managers In Protective Service","0641 - Commissioned Police Officers; 0642 - Fire Chiefs and Senior Fire-fighting Officers; 0643 - Commissioned Officers, Armed Forces"
N0650,"Managers In Other Services","0651 - Other Services Managers"
N0711,"Construction Managers","0711 - Construction Managers"
N0712,"Residential Home Builders and Renovators","0712 - Residential Home Builders and Renovators"
N0713,"Transportation Managers","0713 - Transportation Managers"
N0720,"Facility Operation And Maintenance Managers","0721 - Facility Operation and Maintenance Managers"
N0811,"Primary Production Managers (except Agriculture)","0811 - Primary Production Managers (except Agriculture)"
N0910,"Managers In Manufacturing And Utilities","0911 - Manufacturing Managers; 0912 - Utilities Managers"
N1111,"Financial Auditors and Accountants","1111 - Financial Auditors and Accountants"
N1112,"Financial and Investment Analysts & Securities Agents, Investment Dealers and Traders","1112 - Financial and Investment Analysts; 1113 - Securities Agents, Investment Dealers and Traders"
N1114,"Other Financial Officers","1114 - Other Financial Officers"
N1121,"Specialists in Human Resources","1121 - Specialists in Human Resources"
N1122,"Professional Occupations in Business Services to Management","1122 - Professional Occupations in Business Services to Management"
N1211,"Supervisors, General Office and Administrative Support Clerks","1211 - Supervisors, General Office and Administrative Support Clerks"
N1212,"Supervisors, Finance and Insurance Clerks","1212 - Supervisors, Finance and Insurance Clerks"
N1213,"Other Clerical Supervisors (Library, Correspondence, Mail and Message Distribution & Recording, Distributing and Scheduling)","1213 - Supervisors, Library, Correspondence and Related Information Clerks; 1214 - Supervisors, Mail and Message Distribution Occupations; 1215 - Supervisors, Recording, Distributing and Scheduling Occupations"
N1221,"Administrative Officers & Executive Assistants","1221 - Administrative Officers; 1222 - Executive Assistants"
N1223,"Personnel and Recruitment Officers","1223 - Personnel and Recruitment Officers"
N1224,"Property Administrators","1224 - Property Administrators"
N1225,"Purchasing Agents and Officers","1225 - Purchasing Agents and Officers"
N1226,"Conference and Event Planners","1226 - Conference and Event Planners"
N1227,"Court Officers and Justices of the Peace & Immigration, Unemployment Insurance and Revenue Officers","1227 - Court Officers and Justices of the Peace; 1228 - Immigration, Unemployment Insurance and Revenue Officers"
N1231,"Bookkeepers","1231 - Bookkeepers"
N1232,"Loan Officers","1232 - Loan Officers"
N1233,"Insurance Adjusters and Claims Examiners, Insurance, Underwriters, Assessors and Valuators and Others","1233 - Insurance Adjusters and Claims Examiners; 1234 - Insurance Underwriters; 1235 - Assessors, Valuators and Appraisers; 1236 - Customs, Ship and Other Brokers"
N1241,"Secretaries (except Legal and Medical)","1241 - Secretaries (except Legal and Medical)"
N1242,"Legal Secretaries and Court Recorders and Medical Transcriptionists","1242 - Legal Secretaries; 1244 - Court Recorders and Medical Transcriptionists"
N1243,"Medical Secretaries","1243 - Medical Secretaries"
N1411,"General Office Clerks & Records and File Clerks","1411 - General Office Clerks; 1413 - Records and File Clerks"
N1414,"Receptionists and Switchboard Operators","1414 - Receptionists and Switchboard Operators"
N1420,"Office Equipment Operators","1422 - Data Entry Clerks; 1423 - Typesetters and Related Occupations; 1424 - Telephone Operators"
N1431,"Accounting and Related Clerks","1431 - Accounting and Related Clerks"
N1432,"Payroll Clerks","1432 - Payroll Clerks"
N1433,"Tellers, Financial Services","1433 - Tellers, Financial Services"
N1434,"Banking, Insurance and Other Financial Clerks & Collectors","1434 - Banking, Insurance and Other Financial Clerks; 1435 - Collectors"
N1440,"Administrative Support Clerks","1441 - Administrative Clerks; 1442 - Personnel Clerks; 1443 - Court Clerks"
N1450,"Library, Correspondence And Related Information Clerks","1451 - Library Clerks; 1452 - Correspondence, Publication and Related Clerks; 1453 - Customer Service, Information and Related Clerks; 1454 - Survey Interviewers and Statistical Clerks"
N1461,"Mail, Postal and Related Clerks","1461 - Mail, Postal and Related Clerks"
N1462,"Letter Carriers","1462 - Letter Carriers"
N1463,"Couriers and Messengers","1463 - Couriers and Messengers"
N1471,"Shippers and Receivers","1471 - Shippers and Receivers"
